0,480,375
0,532,800
0,700,332
1,533,800
1,300,450
1,133,200
0,533,800
0,683,1024
1,240,150
1,300,450
0,532,800
1,240,150
0,533,800
0,1032,652
0,533,800
1,100,150
1,300,450
0,700,450
0,1035,750
1,240,150
1,790,280
1,133,200
1,300,450
0,525,790
1,133,200
1,133,200
0,800,450
0,640,480
0,682,1024
0,700,450
0,300,450
1,133,200
0,532,800
0,682,1024
1,300,450
1,300,450
1,210,130
1,300,300
0,532,800
1,240,150
0,720,961
0,1024,683
0,1336,920
0,800,450
0,682,1024
0,300,450
1,300,450
1,132,200
0,1280,960
1,133,200
1,133,200
1,790,280
0,683,1024
0,547,800
1,300,450
0,794,683
1,133,200
1,300,450
1,240,150
0,683,1024
0,600,800
0,532,800
0,300,450
0,700,450
1,133,200
1,300,450
0,700,450
0,792,594
0,300,450
0,533,800
0,700,450
1,133,200
1,300,450
0,533,800
1,300,450
0,683,1024
0,640,426
0,300,450
0,300,450
0,800,1094
1,790,280
0,720,960
1,240,150
0,667,1000
1,300,450
0,683,1024
0,300,450
0,850,566
1,133,200
0,533,800
1,133,200
0,800,450
0,532,800
0,920,838
1,790,280
0,533,800
1,300,450
0,792,594
1,240,150
1,240,150
1,133,200
0,533,800
0,300,450
1,133,200
0,680,1024
0,1280,720
0,650,867
0,450,689
1,133,133
0,532,800
0,600,800
0,600,399
0,681,1024
1,540,205
0,1024,706
0,700,450
0,533,800
0,720,1278
1,133,200
0,750,1000
0,532,800
1,240,150
1,240,150
0,533,800
0,600,400
0,635,900
1,240,150
1,600,900
1,210,130
1,133,200
0,796,1175
1,240,150
0,600,337
1,320,240
1,240,180
1,300,450
0,1280,1707
1,300,450
1,300,450
0,683,1024
0,935,1280
1,700,200
1,600,400
1,300,250
0,700,450
0,600,853
0,683,1024
0,540,809
1,240,150
0,666,1000
0,533,800
0,600,847
0,533,800
0,700,450
0,1000,1500
0,743,1024
0,1280,720
0,1089,1600
0,405,600
0,700,450
0,525,790
0,692,1000
0,800,1126
0,600,800
0,1280,960
0,998,1458
0,700,450
0,533,800
0,533,800
0,730,916
1,300,450
0,700,450
1,240,150
1,133,200
0,533,800
0,230,315
0,240,150
0,790,280
0,300,450
0,533,800
0,682,1024
0,683,1024
0,700,450
0,240,150
0,533,800
1,320,240
0,532,800
0,300,450
0,300,450
0,532,800
0,300,450
0,300,450
0,1024,768
0,800,600
0,683,1024
0,300,450
0,525,790
1,240,150
0,773,800
0,896,672
0,682,1024
1,240,150
0,800,450
1,240,150
0,300,450
0,300,450
1,133,200
0,532,800
1,240,150
0,300,450
0,320,240
0,300,450
0,434,306
1,240,150
0,800,450
0,2107,3000
0,300,450
0,700,450
0,533,800
0,533,800
0,600,337
0,700,450
0,533,800
0,532,800
0,540,713
0,650,1156
0,1000,1405
0,1024,768
0,300,450
1,240,150
0,1080,1440
1,350,200
1,133,200
0,300,450
0,800,450
0,700,450
1,320,240
0,780,500
0,800,600
0,700,450
0,532,800
0,600,521
0,405,600
1,133,200
0,682,1024
0,533,800
1,240,150
0,800,450
0,533,800
1,240,150
0,500,695
0,800,600
0,683,1024
0,506,682
0,683,1024
0,700,450
0,533,800
0,300,450
0,300,450
0,800,600
1,300,450
0,532,800
1,300,300
0,843,1200
0,1035,750
0,700,450
0,300,450
0,532,800
0,790,280
0,700,450
0,683,1024
0,4800,3600
0,700,450
0,533,800
0,700,450
1,240,150
1,300,450
1,300,450
0,683,1024
0,600,338
0,700,450
0,570,929
0,600,547
0,1024,768
0,683,1024
0,300,450
0,640,426
0,533,800
1,240,150
0,533,800
0,700,450
0,683,1024
0,400,600
0,532,800
0,600,683
0,400,600
0,532,800
0,765,961
1,240,150
0,683,1024
0,910,1289
1,133,200
0,683,1024
0,850,1280
0,300,450
0,640,480
0,600,400
0,700,450
0,540,406
0,682,1024
0,683,1024
0,1024,739
1,133,200
0,790,280
0,700,450
0,532,800
0,400,600
0,300,450
0,400,600
0,1024,682
1,240,150
